Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
fulfillment near me,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Near Me, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
local fulfillment centers,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Near Me, --, --, --, --,USD,7.20,1,1,0.00,50.00%,50.00%,0.00%,100.00%
fulfilment companies near me,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Near Me, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services near me,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Near Me, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,16,0,0.00,19.67%,59.02%,58.33%,83.33%
3pl warehouse los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fulfillment companies los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles third party logistics,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse in los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
order fulfillment los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles ecommerce fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,50.00%,0,0
los angeles fulfillment centers,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,22.34,1,1,0.00,11.11%,77.78%,100.00%,100.00%
3pl logistics los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles ca,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl la,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,14.94,8,1,0.00,33.33%,54.17%,50.00%,100.00%
la 3pl,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,3,0,0.00,30.00%,50.00%,0.00%,66.67%
los angeles 3pl,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,23.03,2,1,0.00,75.00%,0.00%,50.00%,100.00%
3pl warehouse la,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment warehouse,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies in los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics in los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics services in los angeles,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Los Angeles Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast fulfillment center,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast 3pl,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,4,0,0.00,60.00%,0.00%,66.67%,100.00%
west coast order fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast ecommerce fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast fulfillment services,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast 3pl services,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast 3pl warehouse,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast fulfilment services,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
west coast fulfillment companies,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,25.00%,50.00%,0.00%,100.00%
west coast fulfilment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing and distribution west coast,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
pick and pack west coast,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment company west coast,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,West Coast Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fulfillment california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,9,0,0.00,21.88%,53.13%,50.00%,66.67%
fulfillment center california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,20.98,20,1,0.00,37.14%,45.71%,46.15%,76.92%
california fulfillment services,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,2,0,0.00,14.29%,57.14%,0.00%,100.00%
3pl companies california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,51.76,46,2,0.00,10.96%,62.13%,48.48%,75.76%
order fulfillment california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,5.85,41,1,0.00,27.91%,52.33%,54.17%,91.67%
3pl warehouse california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
california 3pl,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,40.21,12,2,0.00,15.91%,65.91%,71.43%,100.00%
order fulfillment services california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment in california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,14,0,0.00,26.09%,26.09%,50.00%,83.33%
fulfillment warehouse california,Not eligible,Exact match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,19,0,0.00,23.53%,62.75%,50.00%,100.00%
california fulfillment warehouse companies,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,16,0,0.00,14.47%,48.68%,18.18%,81.82%
3pl ca,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,40.26,15,2,1.00,< 10%,68.00%,0.00%,25.00%
prep center in california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse in california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,1,0,0.00,< 10%,66.67%,0.00%,0.00%
california 3pl warehouse,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,27.94,17,1,0.00,14.47%,59.21%,36.36%,54.55%
california order fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
southern california fulfillment,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies in southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,3,0,0.00,20.00%,60.00%,0.00%,100.00%
third party logistics southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
socal 3pl,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies in southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,3,0,0.00,50.00%,16.67%,33.33%,66.67%
southern california fulfillment center,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services southern california,Not eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM West Coast Fulfillment Services | Handled | Search | TDM – Experiment: Maximize Conversions,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,82.57,103,5,0.00,11.99%,53.37%,24.24%,75.76%
california fulfillment services,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,0.00,9,0,0.00,11.36%,56.82%,40.00%,60.00%
order fulfillment services california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment in california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,10.07,30,2,0.00,15.63%,64.06%,40.00%,80.00%
fulfillment warehouse california,Eligible,Exact match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,202.04,24,5,0.00,15.60%,55.05%,25.00%,100.00%
fulfillment center los angeles california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,366.44,87,14,0.00,17.80%,58.12%,26.98%,80.95%
3pl services california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,215.12,234,14,0.00,11.33%,57.24%,25.78%,71.88%
california fulfillment warehouse companies,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,95.19,193,8,0.00,< 10%,62.15%,35.87%,72.83%
california 3pl warehouse,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment, --, --, --, --,USD,463.67,279,21,0.00,13.17%,54.76%,29.73%,80.54%
garment warehousing,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Garment Fulfillment, --, --, --, --,USD,0.00,36,0,0.00,11.55%,72.91%,37.93%,89.66%
garment fulfillment services,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
garment warehousing services,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Garment Fulfillment, --, --, --, --,USD,69.96,6,1,0.00,< 10%,72.73%,25.00%,100.00%
garment fulfillment company,Not eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Garment Fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
southern california fulfillment,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl southern california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,66.67%,0,0
third party logistics southern california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,4.54,13,1,0.00,< 10%,65.71%,0,0
3pl warehouse southern california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,0.00,2,0,0.00,33.33%,50.00%,0.00%,50.00%
socal 3pl,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,38.25,68,1,0.00,25.93%,44.44%,35.71%,78.57%
southern california fulfillment center,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,73.33,124,3,0.00,22.68%,51.55%,38.46%,89.23%
fulfillment services southern california,Eligible,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment, --, --, --, --,USD,0.00,13,0,0.00,20.00%,60.00%,0.00%,40.00%
fulfillment near me,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,21.25,64,4,0.00,16.05%,54.32%,16.67%,66.67%
3pl logistics companies near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,4.70,17,1,0.00,12.50%,57.50%,20.00%,80.00%
3pl logistics company near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,9,0,0.00,28.57%,71.43%,25.00%,75.00%
fulfilment centre near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,0.00,1,0,0.00, --, --,0,0
3 pl warehousing near me,Eligible,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me, --, --, --, --,USD,42.13,116,2,0.00,11.63%,55.81%,30.00%,90.00%
fashion order fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment, --, --, --, --,USD,0.00,0,0,0.00,< 10%,> 90%,0,0
fashion fulfillment services,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment, --, --, --, --,USD,0.00,19,0,0.00,19.28%,55.42%,50.00%,75.00%
fashion fulfillment center,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment, --, --, --, --,USD,11.12,14,1,0.00,13.79%,74.14%,37.50%,87.50%
fashion warehouse fulfillment,Eligible,Phrase match,Apparel Fulfillment Services | Handled | Search | TDM,Fashion Fulfillment, --, --, --, --,USD,129.92,67,6,0.00,15.28%,65.97%,34.88%,76.74%
switch 3pl,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
change 3pl,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
switch fulfillment provider,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
change fulfillment provider,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl migration,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
switching 3pl,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
switch fulfillment company,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
change fulfillment company,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new 3pl provider,Not eligible,Phrase match,Switch 3pl_Search Campaign,switch 3pl, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl alternative,Not eligible,Phrase match,Switch 3pl_Search Campaign,3pl alternative, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
better 3pl provider,Not eligible,Phrase match,Switch 3pl_Search Campaign,3pl alternative, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment provider alternative,Not eligible,Phrase match,Switch 3pl_Search Campaign,3pl alternative, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl replacement,Not eligible,Phrase match,Switch 3pl_Search Campaign,3pl alternative, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new 3pl provider,Not eligible,Phrase match,Switch 3pl_Search Campaign,3pl alternative, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
red stag fulfillment,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillrite,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipbob inc,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipmonk,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipbob fulfillment,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
capacity fulfillment,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipmonk fulfillment,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
red stag 3pl,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
red stag fulfillment llc,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
red stag fulfilment,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipbob fulfillment centers,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shipbob warehouse,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
red stag fulfillment pricing,Not eligible,Phrase match,Competitor Campaign,Competitor, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
